Team,M_2025,W_2025,D_2025,L_2025,G_2025,GA_2025,PTS_2025,xG_2025,NPxG_2025,xGA_2025,NPxGA_2025,NPxGD_2025,xPTS_2025,M_2024,W_2024,D_2024,L_2024,G_2024,GA_2024,PTS_2024,xG_2024,NPxG_2024,xGA_2024,NPxGA_2024,NPxGD_2024,xPTS_2024,M_2023,W_2023,D_2023,L_2023,G_2023,GA_2023,PTS_2023,xG_2023,NPxG_2023,xGA_2023,NPxGA_2023,NPxGD_2023,xPTS_2023,M_2022,W_2022,D_2022,L_2022,G_2022,GA_2022,PTS_2022,xG_2022,NPxG_2022,xGA_2022,NPxGA_2022,NPxGD_2022,xPTS_2022,M_2021,W_2021,D_2021,L_2021,G_2021,GA_2021,PTS_2021,xG_2021,NPxG_2021,xGA_2021,NPxGA_2021,NPxGD_2021,xPTS_2021
Inter,25.0,20.0,1.0,4.0,60.0,21.0,61.0,62.31989,58.513399,21.414086,19.891495,38.621904,57.1275,38.0,24.0,9.0,5.0,79.0,35.0,81.0,76.743054,69.891369,42.434716,39.242138,30.649231,75.4215,38.0,29.0,7.0,2.0,89.0,22.0,94.0,85.832781,75.084243,33.3883203,30.305700299999998,44.7785427,83.0752,38.0,23.0,3.0,12.0,71.0,42.0,72.0,71.9683,68.1618,36.047957,33.764062,34.397738,76.3738,38.0,25.0,9.0,4.0,84.0,32.0,84.0,90.384111,81.793343,39.877887,36.832682,44.960660999999995,80.7
Juventus,25.0,13.0,7.0,5.0,43.0,23.0,46.0,47.719607,44.539437,23.335494,21.812897,22.72654,49.227399999999996,38.0,18.0,16.0,4.0,58.0,35.0,70.0,58.117922,53.550126999999996,35.3571081,31.5506171,21.999509899999996,69.5052,38.0,19.0,14.0,5.0,54.0,31.0,71.0,63.482491,59.550211,31.7691311,29.3368151,30.2133959,74.6383,38.0,22.0,6.0,10.0,56.0,33.0,72.0,59.741951,55.058296,40.9844612,37.177962199999996,17.880333800000002,64.3841,38.0,20.0,10.0,8.0,57.0,37.0,70.0,60.8302468,56.2624568,40.439116,34.963921,21.298535800000003,66.212
Lazio,25.0,8.0,9.0,8.0,26.0,25.0,33.0,29.648713,26.603516,35.395951,32.350756,-5.747239999999998,29.0622,38.0,18.0,11.0,9.0,61.0,49.0,65.0,65.3189751,59.898625100000004,43.4852944,40.4400964,19.458528700000002,66.7787,38.0,18.0,7.0,13.0,49.0,39.0,61.0,51.38863,48.343437,45.257035,42.973138,5.370299000000003,57.7808,38.0,22.0,8.0,8.0,60.0,30.0,74.0,54.305281,48.076511,42.650831,41.128232,6.9482790000000065,59.2378,38.0,18.0,10.0,10.0,77.0,58.0,64.0,59.29086,52.4391761,50.100997,45.444532,6.994644099999995,60.96
Lecce,25.0,6.0,6.0,13.0,17.0,31.0,24.0,23.485142,22.723846,41.387866,36.820069,-14.096222999999995,22.711599999999997,38.0,8.0,10.0,20.0,27.0,58.0,34.0,36.987021,33.9418311,64.6352,57.0222,-23.080368899999996,34.884,38.0,8.0,14.0,16.0,32.0,54.0,38.0,47.6228411,43.7246981,65.393996,60.826198,-17.1014999,40.0897,38.0,8.0,12.0,18.0,33.0,46.0,36.0,36.934721,32.366922,43.4699848,38.9021908,-6.535268799999997,47.2044,,,,,,,,,,,,,
Monza,,,,,,,,,,,,,,38.0,3.0,9.0,26.0,28.0,69.0,18.0,32.1241681,29.8402691,65.227311,62.182116,-32.3418469,30.8136,38.0,11.0,12.0,15.0,39.0,51.0,45.0,45.554431,41.747931,63.828901,56.677119,-14.929187999999996,40.5174,38.0,14.0,10.0,14.0,48.0,52.0,52.0,44.8058848,40.2380858,55.2578181,52.9739101,-12.735824299999997,46.8416,,,,,,,,,,,,,
Napoli,25.0,15.0,5.0,5.0,38.0,25.0,50.0,38.765482,35.720297,29.465212,23.367888,12.352409000000002,40.3353,38.0,24.0,10.0,4.0,59.0,27.0,82.0,57.046273,53.239781,31.5467366,28.3717946,24.8679864,70.9759,38.0,13.0,14.0,11.0,55.0,48.0,53.0,68.489395,60.727987999999996,41.889893,38.844694,21.883294,68.2752,38.0,28.0,6.0,4.0,77.0,28.0,90.0,71.726551,64.113568,31.961774,30.439176,33.674392,78.5123,38.0,24.0,7.0,7.0,74.0,31.0,79.0,63.642916,52.911833,34.4049619,33.6436619,19.268171100000004,72.0256
Parma Calcio 1913,25.0,7.0,8.0,10.0,18.0,31.0,29.0,26.6521193,25.1295193,42.246732,38.440243099999996,-13.310723799999998,26.770799999999998,38.0,7.0,15.0,16.0,44.0,58.0,36.0,47.949562,42.620457,66.010213,62.203713,-19.583256,42.9163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pisa,25.0,1.0,12.0,12.0,20.0,42.0,15.0,29.5137317,24.9459307,45.5541983,41.7477063,-16.801775599999996,27.2203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roma,25.0,15.0,2.0,8.0,31.0,16.0,47.0,38.946229,35.901028,28.024258,28.024258,7.876769999999997,42.9908,38.0,20.0,9.0,9.0,56.0,35.0,69.0,62.074989,55.984588,48.0648064,45.0196175,10.9649705,61.7486,38.0,18.0,9.0,11.0,65.0,46.0,63.0,56.916116,47.780519,47.026691,43.220195,4.560324000000001,59.2543,38.0,18.0,9.0,11.0,50.0,38.0,63.0,64.016786,56.323506,32.89828,30.614382,25.709124000000003,71.3462,38.0,18.0,9.0,11.0,59.0,43.0,63.0,66.79509,59.797298,42.048979,37.481185,22.316112999999994,68.1802
Salernitana,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,2.0,11.0,25.0,32.0,81.0,17.0,31.4465137,29.9239177,79.031193,71.418217,-41.494299299999994,22.6804,38.0,9.0,15.0,14.0,48.0,62.0,42.0,35.443094,33.920495,72.613747,63.628581,-29.708085999999994,30.674599999999998,38.0,7.0,10.0,21.0,33.0,78.0,31.0,39.4897489,35.6832509,71.417559,65.327199,-29.643948099999996,34.4518
Sampdoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,3.0,10.0,25.0,24.0,71.0,19.0,35.1019911,33.5793911,69.91526,61.540977,-27.961585899999996,31.3685,38.0,10.0,6.0,22.0,46.0,63.0,36.0,39.090124,35.9202674,62.110146,59.064954,-23.1446866,37.3943
Sassuolo,25.0,9.0,5.0,11.0,29.0,35.0,32.0,30.551325,28.084892,38.997014,35.951816,-7.866924000000001,31.026,,,,,,,,,,,,,,38.0,7.0,9.0,22.0,43.0,75.0,30.0,43.52809,37.437701,66.923739,58.549452,-21.111751000000005,39.6423,38.0,12.0,9.0,17.0,47.0,61.0,45.0,51.50375,43.890764,51.935625,48.89043,-4.999666000000005,52.4995,38.0,13.0,11.0,14.0,64.0,66.0,50.0,59.360343,54.031331,69.961164,63.109482,-9.078150999999998,46.9511
Spezia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,6.0,13.0,19.0,31.0,62.0,31.0,40.637222,37.592027,63.817499,58.488409,-20.896381999999996,37.701100000000004,38.0,10.0,6.0,22.0,41.0,71.0,36.0,41.6489649,37.828626899999996,69.548185,59.651295,-21.8226681,37.9594
Torino,25.0,7.0,6.0,12.0,25.0,44.0,27.0,32.826377,28.903604,39.74301,36.697812,-7.794207999999998,30.7876,38.0,10.0,14.0,14.0,39.0,45.0,44.0,37.293449,34.248247,56.795387,51.378596,-17.130349000000002,38.9959,38.0,13.0,14.0,11.0,36.0,36.0,53.0,43.292767,41.770173,38.7596463,33.4305523,8.339620699999998,55.5922,38.0,14.0,11.0,13.0,42.0,41.0,53.0,47.318819,45.796228,39.992026,35.424235,10.371992999999996,56.3805,38.0,13.0,11.0,14.0,46.0,41.0,50.0,53.753508000000004,49.185719,41.112452,32.7381611,16.4475579,58.725899999999996
Udinese,25.0,9.0,5.0,11.0,28.0,38.0,32.0,30.710686,27.665501,38.305739,33.737936,-6.072434999999999,30.1469,38.0,12.0,8.0,18.0,41.0,56.0,44.0,44.505223,41.330278,58.926320000000004,52.835923,-11.505645000000001,42.9258,38.0,6.0,19.0,13.0,37.0,53.0,37.0,44.8805609,41.8353619,53.146404,46.2947082,-4.4593463,49.0112,38.0,11.0,13.0,14.0,47.0,48.0,46.0,47.557566,46.034964,51.297208,45.887822,0.14714200000000233,50.6013,38.0,11.0,14.0,13.0,61.0,58.0,47.0,57.1706286,54.1254286,54.012163,48.588478,5.536950599999997,52.7464
Venezia,,,,,,,,,,,,,,38.0,5.0,14.0,19.0,32.0,56.0,29.0,41.62522,37.81873,64.917335,56.543041,-18.724311,38.114,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,6.0,9.0,23.0,34.0,69.0,27.0,36.158247,32.218885,77.360844,68.225263,-36.006378,28.2927
Verona,25.0,2.0,9.0,14.0,19.0,43.0,15.0,26.7813983,24.4974994,35.958267,33.491829,-8.994329600000004,28.9004,38.0,10.0,7.0,21.0,34.0,66.0,37.0,37.323304,35.800719,60.538119,57.492925,-21.692206,36.6288,38.0,9.0,11.0,18.0,38.0,51.0,38.0,38.459419,32.911457,58.523099,57.000499,-24.089042,38.1649,38.0,7.0,10.0,21.0,31.0,59.0,31.0,37.271576,36.51028,52.831857,51.309257,-14.798977,42.0005,38.0,14.0,11.0,13.0,65.0,59.0,53.0,56.385493,50.295107,52.039378,48.8695404,1.4255666000000033,53.322
