Team,M_2025,W_2025,D_2025,L_2025,G_2025,GA_2025,PTS_2025,xG_2025,NPxG_2025,xGA_2025,NPxGA_2025,NPxGD_2025,xPTS_2025,M_2024,W_2024,D_2024,L_2024,G_2024,GA_2024,PTS_2024,xG_2024,NPxG_2024,xGA_2024,NPxGA_2024,NPxGD_2024,xPTS_2024,M_2023,W_2023,D_2023,L_2023,G_2023,GA_2023,PTS_2023,xG_2023,NPxG_2023,xGA_2023,NPxGA_2023,NPxGD_2023,xPTS_2023,M_2022,W_2022,D_2022,L_2022,G_2022,GA_2022,PTS_2022,xG_2022,NPxG_2022,xGA_2022,NPxGA_2022,NPxGD_2022,xPTS_2022,M_2021,W_2021,D_2021,L_2021,G_2021,GA_2021,PTS_2021,xG_2021,NPxG_2021,xGA_2021,NPxGA_2021,NPxGD_2021,xPTS_2021
FC Heidenheim,22.0,3.0,4.0,15.0,19.0,48.0,13.0,28.725183,28.725183,47.524637,43.735746999999996,-15.010563999999995,19.8481,34.0,8.0,5.0,21.0,37.0,64.0,29.0,42.962215,39.1733373,64.337509,59.790856,-20.617518699999998,34.4756,34.0,10.0,12.0,12.0,50.0,55.0,42.0,42.578983,40.305642999999996,66.094229,58.389432,-18.083789000000003,33.2363,,,,,,,,,,,,,,,,,,,,,,,,,,
Freiburg,22.0,8.0,6.0,8.0,32.0,36.0,30.0,32.228162,27.681577,33.8491411,33.0913621,-5.409785099999997,29.6855,34.0,16.0,7.0,11.0,49.0,53.0,55.0,54.559025,51.397671,47.797482,44.766375,6.631296000000006,51.518,34.0,11.0,9.0,14.0,45.0,58.0,42.0,52.5000437,45.6800637,58.555137,54.680064,-9.000000300000004,44.2596,34.0,17.0,8.0,9.0,51.0,44.0,59.0,50.240992,44.090787,49.661925,45.115266,-1.0244789999999995,47.3269,34.0,15.0,10.0,9.0,58.0,46.0,55.0,57.728731,53.115849,49.084705,47.569153,5.546695999999997,52.9271
Greuther Fuerth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,3.0,9.0,22.0,28.0,82.0,18.0,30.635762500000002,26.8469585,60.544376,55.997716,-29.150757499999997,26.4837
Hamburger SV,21.0,6.0,7.0,8.0,24.0,31.0,25.0,28.684964,26.339253,34.658742,31.627646,-5.288392999999999,25.5947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hertha Berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,7.0,8.0,19.0,42.0,69.0,29.0,41.4376224,36.1331874,62.421083,57.874578,-21.741390600000003,34.3275,34.0,9.0,6.0,19.0,37.0,71.0,33.0,37.894818,35.621482,58.790993,52.72878,-17.107298,37.9523
Hoffenheim,22.0,14.0,3.0,5.0,47.0,28.0,45.0,39.891165,36.860053,36.199291,32.41041,4.449643000000002,33.5174,34.0,7.0,11.0,16.0,46.0,68.0,32.0,46.919211000000004,44.645881,63.882317,59.196242,-14.550360999999995,37.2149,34.0,13.0,7.0,14.0,66.0,66.0,46.0,56.249379,51.70273,66.424648,62.635767,-10.933036999999999,42.5726,34.0,10.0,6.0,18.0,48.0,57.0,36.0,47.312395,40.492405,52.841997,50.568672,-10.076267000000001,42.9731,34.0,13.0,7.0,14.0,58.0,60.0,46.0,59.76566,59.76566,57.266329,54.168829,5.596830999999995,46.6967
Holstein Kiel,,,,,,,,,,,,,,34.0,6.0,7.0,21.0,49.0,80.0,25.0,43.568159,39.724239,70.587202,65.282751,-25.558512000000007,31.0932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mainz 05,22.0,5.0,6.0,11.0,25.0,37.0,21.0,36.3880181,30.3258121,42.977186,41.461646,-11.135833900000002,28.7744,34.0,14.0,10.0,10.0,55.0,43.0,52.0,55.821142,52.790039,51.154956,47.366075,5.423963999999998,51.7371,34.0,7.0,14.0,13.0,39.0,51.0,35.0,51.678404,47.889514,50.514467,47.483527,0.4059869999999961,49.182,34.0,12.0,10.0,12.0,54.0,55.0,46.0,50.487623,45.941042,54.858333,48.653025,-2.7119829999999965,45.1492,34.0,13.0,7.0,14.0,50.0,45.0,46.0,52.082733,49.051623,43.40648,38.859895,10.191727999999998,50.623
RasenBallsport Leipzig,22.0,12.0,4.0,6.0,42.0,30.0,40.0,47.084087000000004,45.568537,31.947108,30.431557,15.136979999999998,40.1679,34.0,13.0,12.0,9.0,53.0,48.0,51.0,52.335592,49.304477,64.370334,62.0970053,-12.7925283,42.2468,34.0,19.0,8.0,7.0,77.0,39.0,65.0,72.626394,67.321941,43.253636,39.464765,27.857175999999995,64.2099,34.0,20.0,6.0,8.0,64.0,41.0,66.0,68.842507,63.538157,36.987905,30.925677,32.61248,67.5073,34.0,17.0,7.0,10.0,72.0,37.0,58.0,67.396235,60.576251,44.377843,42.104522,18.471728999999996,60.5882
Schalke 04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,7.0,10.0,17.0,35.0,71.0,31.0,40.5444489,36.7555759,61.531887,56.926311,-20.1707351,38.7621,,,,,,,,,,,,,
St. Pauli,22.0,4.0,5.0,13.0,20.0,39.0,17.0,22.168191,18.223383,39.765518,36.658809,-18.435426,18.6933,34.0,8.0,8.0,18.0,28.0,41.0,32.0,39.4738708,37.8661608,53.496426,49.540706,-11.674545199999997,39.981300000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Union Berlin,22.0,6.0,7.0,9.0,28.0,37.0,25.0,33.220827,30.189723,31.270224,27.481336,2.708387000000002,32.1896,34.0,10.0,11.0,13.0,36.0,50.0,41.0,43.007801,40.734473,51.631964,46.807104,-6.072631000000001,41.9701,34.0,9.0,6.0,19.0,33.0,58.0,33.0,44.7422026,40.1093326,56.560185,51.255755,-11.146422399999999,39.5004,34.0,18.0,8.0,8.0,51.0,38.0,62.0,35.074031,29.769673,42.431049,37.126596,-7.356922999999998,42.3223,34.0,16.0,9.0,9.0,50.0,44.0,57.0,55.20362,51.414738,39.82665,38.311099999999996,13.103638000000004,58.2838
VfB Stuttgart,22.0,13.0,3.0,6.0,41.0,29.0,42.0,41.704449000000004,38.673329,30.613246,25.308807,13.364522000000001,38.5147,34.0,14.0,8.0,12.0,64.0,53.0,50.0,71.186099,66.264164,52.809123,50.443648,15.82051599999999,57.8535,34.0,23.0,4.0,7.0,78.0,39.0,73.0,78.991457,72.78382,42.503415,40.230086,32.553734000000006,69.5001,34.0,7.0,12.0,15.0,45.0,57.0,33.0,49.149235,45.360353,48.305777,43.759204,1.6011490000000066,47.3078,34.0,7.0,12.0,15.0,41.0,59.0,33.0,47.906166,45.610184,55.456865,52.425769,-6.815585000000006,40.4546
Werder Bremen,22.0,4.0,7.0,11.0,22.0,42.0,19.0,26.583313,24.309984,39.313791,36.282671,-11.972687,24.0718,34.0,14.0,9.0,11.0,54.0,57.0,51.0,56.262248,52.473371,55.313385,53.040055,-0.5666840000000022,49.3629,34.0,11.0,9.0,14.0,48.0,54.0,42.0,47.103469,42.429769,61.096643,56.549977,-14.120207999999998,38.4375,34.0,10.0,6.0,18.0,51.0,64.0,36.0,42.914084,38.36744,57.851502,55.578161,-17.210721,40.4839,,,,,,,,,,,,,
Wolfsburg,22.0,5.0,5.0,12.0,31.0,46.0,20.0,30.696324,29.105155,42.466746,36.332153,-7.226997999999998,23.572400000000002,34.0,11.0,10.0,13.0,56.0,54.0,43.0,53.383355,49.46691,58.043841,55.638683,-6.171773000000002,44.3151,34.0,10.0,7.0,17.0,41.0,56.0,37.0,44.000206,41.587459,49.871973,47.598636,-6.011176999999996,42.7937,34.0,13.0,10.0,11.0,57.0,48.0,49.0,51.208132,45.773498000000004,52.102285,46.79793,-1.0244319999999973,47.2333,34.0,12.0,6.0,16.0,43.0,54.0,42.0,49.273872,46.24277,53.476041,48.148939,-1.9061689999999984,44.2423
