id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
3423,Kylian Mbappe-Lottin,22,1951,23,21.136674840003252,4,6.446330849081278,109,53,3,0,F,Real Madrid,15,14.44717587903142,21.63715022802353,6.057588364928961
9002,Vedat Muriqi,23,1902,16,14.095064533874393,1,1.0704565392807126,69,11,2,1,F S,Mallorca,11,9.63539875857532,9.984640426933765,2.7047089827246964
6441,Ferrán Torres,22,1404,12,13.133666023612022,1,2.1071850527077913,53,17,1,0,F M S,Barcelona,12,13.133666023612022,17.667471770197153,3.3625364592298865
1235,Ante Budimir,23,1812,11,9.935013674199581,0,0.5571371354162693,59,8,1,0,F S,Osasuna,8,6.961903151124716,5.815424641594291,0.8362672366201878
227,Robert Lewandowski,19,914,10,11.67327145114541,1,1.567640408873558,45,8,2,0,F S,Barcelona,9,9.443438667804003,13.311880767345428,3.8605084884911776
2234,Mikel Oyarzabal,21,1830,10,11.297603327780962,3,4.676973525434732,61,30,2,0,F,Real Sociedad,6,8.32462077960372,14.815778970718384,4.924487411975861
2543,Borja Iglesias,22,1338,10,8.860366955399513,2,1.582907721400261,35,16,4,0,F S,Celta Vigo,7,6.630534131079912,10.639141593128443,3.578981149941683
11527,Lamine Yamal,20,1698,10,10.33348885923624,8,10.607687756419182,87,59,0,0,F M S,Barcelona,8,8.103656023740768,25.972699724137783,12.288433149456978
12160,Alberto Moleiro,22,1529,9,4.357568509876728,4,4.133839713409543,33,22,2,0,F M S,Villarreal,9,4.357568509876728,10.924949048087,3.3255837336182594
6954,Juan Camilo Hernández,19,1669,8,7.663763463497162,3,3.681891802698374,56,27,2,0,F,Real Betis,7,6.920485854148865,12.488709397614002,2.962550579570234
7008,Vinícius Júnior,23,1799,8,8.8578559756279,5,4.9022655505687,63,41,4,0,F M S,Real Madrid,5,5.8847454860806465,15.718125715851784,5.783720623701811
8026,Raphinha,15,971,8,6.064365139231086,3,4.716045478358865,44,30,2,0,F M S,Barcelona,7,5.3210875149816275,13.627018243074417,6.13411445915699
2120,Gerard Moreno,12,749,7,4.0397820100188255,0,2.642769679427147,21,18,0,0,F S,Villarreal,5,2.55322677642107,5.847267933189869,2.805291686207056
6531,Alexander Sørloth,23,1220,7,7.130760155618191,0,0.653296111151576,39,8,3,1,F S,Atletico Madrid,7,7.130760155618191,7.370806156657636,0.8275327244773507
6637,Hugo Duro,23,1415,7,5.994393274188042,0,1.0296614803373814,26,12,4,1,F S,Valencia,7,5.994393274188042,7.295789301395416,1.7475816626101732
8107,Jorge De Frutos,21,1570,7,7.002040760591626,1,1.7812358755618334,32,19,2,0,F M,Rayo Vallecano,7,7.002040760591626,9.458169974386692,1.4011777583509684
8187,Georges Mikautadze,18,1099,7,8.201577881351113,4,2.596612123772502,34,13,0,0,F S,Villarreal,7,8.201577881351113,10.580098086968064,0.5294980565086007
10846,Julián Álvarez,24,1713,7,7.8096131812781096,3,5.447033941745758,46,43,2,0,F S,Atletico Madrid,5,5.579780338332057,13.183351710438728,5.159891894087195
14041,Vladyslav Vanat,21,1609,7,7.603454947471619,1,2.0772089138627052,22,11,4,0,F,Girona,4,5.373622119426727,8.381169442087412,1.5092701762914658
2270,Antoine Griezmann,21,718,6,4.931970344856381,0,1.58559500426054,27,15,0,0,F S,Atletico Madrid,6,4.931970344856381,9.429572332650423,4.057589836418629
2335,Pablo Fornals,24,1978,6,4.241605483926833,4,4.650752751156688,35,51,1,0,M S,Real Betis,6,4.241605483926833,16.542998269200325,8.866489238105714
2589,Rafa Mir,19,1342,6,5.5344727244228125,0,0.7339986357837915,50,6,1,0,F M S,Elche,6,4.791323056444526,8.657609792426229,3.9005271941423416
4175,Pere Milla,22,1557,6,6.087292589247227,0,3.3988668713718653,48,28,4,1,F M S,Espanyol,6,6.087292589247227,8.451241934671998,2.397197655402124
5682,Gonçalo Guedes,24,1335,6,3.379800196737051,3,1.8401757348328829,32,18,1,0,F M S,Real Sociedad,6,3.379800196737051,8.056489180773497,4.507260870188475
8292,Dani Olmo,19,1215,6,5.989282177761197,6,4.454576751217246,50,37,0,0,F M S,Barcelona,6,5.989282177761197,15.185079090297222,6.829169802367687
10930,Etta Eyong,21,1528,6,9.047828963957727,3,2.4058460518717766,40,12,2,0,F S,"Levante,Villarreal",6,8.304551339708269,9.081174422986805,0.8323197644203901
11094,Antony,19,1623,6,5.26722951605916,5,4.513561494648457,54,41,1,1,F M,Real Betis,6,5.26722951605916,14.786637596786022,7.695215368643403
11783,Akor Adams,19,1207,6,7.614476669579744,2,0.6460101995617151,41,5,1,0,F S,Sevilla,4,6.127921421080828,7.221516590565443,1.0012895744293928
1189,Lucas Boyé,18,1348,5,7.0153773333877325,1,2.017517538741231,40,18,0,1,F M S,Alaves,4,6.272099664434791,8.982959475368261,3.163208281621337
3264,Mauro Arambarri,24,2139,5,5.076480660587549,1,0.5735646970570087,40,13,3,0,M,Getafe,3,3.5899254493415356,3.9116537906229496,1.3238207614049315
